"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 14:34:56 GMT 2024","Tue Aug 27 14:34:56 GMT 2024","863","firefox","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 14:34:38 GMT 2024","Tue Aug 27 14:34:40 GMT 2024","1546","chromium","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 14:35:05 GMT 2024","Tue Aug 27 14:35:06 GMT 2024","969","webkit","product.spec.js","Тесты для товаров","","","Просмотр товара",""
"passed","Tue Aug 27 14:35:11 GMT 2024","Tue Aug 27 14:35:12 GMT 2024","1165","webkit","product.spec.js","Тесты для товаров","","","Успешное оформление заказа",""
"passed","Tue Aug 27 14:34:44 GMT 2024","Tue Aug 27 14:34:45 GMT 2024","710","chromium","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 14:34:47 GMT 2024","Tue Aug 27 14:34:49 GMT 2024","1408","firefox","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 14:35:07 GMT 2024","Tue Aug 27 14:35:08 GMT 2024","1006","webkit","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 14:34:44 GMT 2024","Tue Aug 27 14:34:44 GMT 2024","743","chromium","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 14:34:51 GMT 2024","Tue Aug 27 14:34:51 GMT 2024","578","firefox","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 14:34:42 GMT 2024","Tue Aug 27 14:34:43 GMT 2024","709","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину с главной",""
"passed","Tue Aug 27 14:34:43 GMT 2024","Tue Aug 27 14:34:44 GMT 2024","659","chromium","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 14:35:04 GMT 2024","Tue Aug 27 14:35:05 GMT 2024","748","webkit","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 14:34:41 GMT 2024","Tue Aug 27 14:34:42 GMT 2024","610","chromium","login.spec.js","Тесты для логина","","","Ошибки при логине locked_out_user",""
"passed","Tue Aug 27 14:34:40 GMT 2024","Tue Aug 27 14:34:41 GMT 2024","549","chromium","login.spec.js","Тесты для логина","","","Проверка обязательного заполнеия поля username",""
"passed","Tue Aug 27 14:34:54 GMT 2024","Tue Aug 27 14:34:55 GMT 2024","1019","firefox","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 14:34:56 GMT 2024","Tue Aug 27 14:34:57 GMT 2024","912","firefox","product.spec.js","Тесты для товаров","","","Проверка общей стоимости товаров",""
"passed","Tue Aug 27 14:35:08 GMT 2024","Tue Aug 27 14:35:09 GMT 2024","1204","webkit","product.spec.js","Тесты для товаров","","","Удаление товара",""
"passed","Tue Aug 27 14:34:49 GMT 2024","Tue Aug 27 14:34:50 GMT 2024","1599","firefox","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 14:34:38 GMT 2024","Tue Aug 27 14:34:38 GMT 2024","659","chromium","login.spec.js","Тесты для логина","","","Успешный логин",""
"passed","Tue Aug 27 14:34:54 GMT 2024","Tue Aug 27 14:34:54 GMT 2024","809","firefox","product.spec.js","Тесты для товаров","","","Добавление товара в корзину со страницы товара",""
"passed","Tue Aug 27 14:34:51 GMT 2024","Tue Aug 27 14:34:52 GMT 2024","598","firefox","login.spec.js","Тесты для логина","","","Ошибки при логине standard_user",""
"passed","Tue Aug 27 14:35:01 GMT 2024","Tue Aug 27 14:35:02 GMT 2024","1616","webkit","login.spec.js","Тесты для логина","","","Успешный выход из аккаунта через меню",""
"passed","Tue Aug 27 14:35:09 GMT 2024","Tue Aug 27 14:35:10 GMT 2024","963","webkit","product.spec.js","Тесты для товаров","","","Сортировка стоимости по возрастанию",""
"passed","Tue Aug 27 14:34:52 GMT 2024","Tue Aug 27 14:34:53 GMT 2024","702","firefox","product.spec.js","Тесты для товаров","","","Просмотр товара",""
